NU_CNPB_PLANO_DA;ID_BENEFICIO_DA;NM_BENEFICIO_DA;IN_PROGRAMADO;NM_REGIME_FINANCEIRO;NM_METODO_FINANCIAMENTO;TE_REGRA_NIVEL_BASICO;IN_AGREGACAO
1987001011;111017;ABONO ANUAL;1;Capitalização;AGREGADO;O VALOR DO COMPLEMENTO SERÁ IGUAL AO DO COMPLEMENTO DO BENEFÍCIO DE APOSENTADORIA, AUXÍLIO DOENÇA, AUXÍLIO RECLUSÃO OU DA PENSÃO POR MORTE, CONFORME O CASO, DEVIDO NO MÊS DE DEZEMBRO, SENDO O PRIMEIRO PAGAMENTO PROPORCIONAL AO NÚMERO DE MESES DE INÍCIO DO BENEFÍCIO.;0
1987001811;111030;ABONO ANUAL;1;Capitalização;AGREGADO;O VALOR DO COMPLEMENTO SERÁ IGUAL AO DO COMPLEMENTO DO BENEFÍCIO DE APOSENTADORIA, AUXÍLIO DOENÇA, AUXÍLIO RECLUSÃO OU DA PENSÃO POR MORTE, CONFORME O CASO, DEVIDO NO MÊS DE DEZEMBRO, SENDO O PRIMEIRO PAGAMENTO PROPORCIONAL AO NÚMERO DE MESES DE INÍCIO DO BENEFÍCIO.;0
1994002883;111051;ABONO ANUAL;1;Capitalização;CRÉDITO UNITÁRIO PROJETADO;O ABONO ANUAL CONSISTIRÁ EM UM BENEFÍCIO QUE SERÁ PAGO NO MÊS DE DEZEMBRO DE CADA ANO AO PARTICIPANTE OU BENEFICIÁRIO QUE ESTIVER RECEBENDO BENEFÍCIO DE PRESTAÇÃO MENSAL POR FORÇA DESTE REGULAMENTO COMPLEMENTAR, EXCETO DE AUXÍLIO-DOENÇA E CORRESPONDERÁ AO VALOR DO BENEFÍCIO RECEBIDO NO MESMO MÊS. O PRIMEIRO PAGAMENTO DO ABONO ANUAL DEVERÁ SER MULTIPLICADO POR UMA FRAÇÃO ONDE O NUMERADOR SERÁ O NÚMERO DE PRESTAÇÕES MENSAIS DO BENEFÍCIO RECEBIDAS NO ANO E O DENOMINADOR SERÁ IGUAL A 12.;0
1987001265;111076;ABONO ANUAL;1;Capitalização;AGREGADO;"OBSERVAÇÃO: O REGIME FINANCEIRO DEPENDERÁ SO BENEFICIO - CAPITALIZAÇÃO AGREGADO OU  REPARTIÇÃO SIMPLES 

O VALOR DO COMPLEMENTO SERÁ IGUAL AO DO COMPLEMENTO DO BENEFÍCIOS DE APOSENTADORIA, AUXÍLIO DOENÇA, AUXÍLIO RECLUSÃO OU DA PENSÃO POR MORTE, CONFORME O CASO, DEVIDO NO MÊS DE DEZEMBRO, SENDO O PRIMEIRO PAGAMENTO PROPORCIONAL AO NÚMERO DE MESES DE INÍCIO DO BENEFÍCIO.";0
1994004274;111088;ABONO ANUAL;0;Repartição de Capital de Cobertura;;1/12 X COMPLEMENTAÇÃO X NÚMERO DE MESES DA COMPLEMENTAÇÃO RECEBIDA;0
1988002656;111101;ABONO ANUAL;1;Capitalização;AGREGADO;1/12 VEZES O COMPLEMENTO DO MÊS DE DEZEMBRO VEZES O Nº DE MESES DA COMPLEMENTAÇÃO RECEBIDA.;0
1987001192;111063;ABONO ANUAL;1;Capitalização;AGREGADO;O VALOR DO COMPLEMENTO SERÁ IGUAL AO DO COMPLEMENTO DO BENEFÍCIO DE APOSENTADORIA, AUXÍLIO DOENÇA, AUXÍLIO RECLUSÃO OU DA PENSÃO POR MORTE, CONFORME O CASO, DEVIDO NO MÊS DE DEZEMBRO, SENDO O PRIMEIRO PAGAMENTO PROPORCIONAL AO NÚMERO DE MESES DE INÍCIO DO BENEFÍCIO.;0
2006003038;111135;ABONO ANUAL;1;Capitalização;CAPITALIZAÇÃO FINANCEIRA;CONSISTIRÁ EM UM ÚNICO PAGAMENTO ANUAL, A TÍTULO DE 13º SALÁRIO, A SER EFETUADO NO MÊS DE DEZEMBRO, DE VALOR CORRESPONDENTE AO VALOR DO BENEFÍCIO DE PRESTAÇÃO CONTINUADA RECEBIDO NO MESMO MÊS.;0
1999002083;111169;ABONO ANUAL;1;Capitalização;CAPITALIZAÇÃO FINANCEIRA;O ABONO ANUAL SERÁ PAGO NO MÊS DE DEZEMBRO DE CADA ANOAO ASSISTIDO OU BENEFICIÁRIO QUE ESTIVER RECEBENDO BENEFÍCIO DE PRESTAÇÃO MENSAL, EXCETO AUXÍLIO DOENÇA, E CORRESPONDERÁ AO VALOR DO BENEFÍCIO RECEBIDO NO MESMO MÊS. O PRIMEIRO PAGAMENTO DO ABONO ANUAL DEVERÁ SER MULTIPLICADO POR UMA FRAÇÃO ONDE O NUMERADOR SERÁ O NÚMERO DE PRESTAÇÕES MENSAIS DO BENEFÍCIO RECEBIDAS NO ANO E O DENOMINADOR SERÁ IGUAL A 12 (DOZE).;0
2008001474;111177;ABONO ANUAL;1;Capitalização;CAPITALIZAÇÃO FINANCEIRA;O ABONO ANUAL SERÁ IGUAL AO VALOR DA RENDA DE APOSENTADORIA OU RENDA POR MORTE, DEVIDO NO MÊS DE DEZEMBRO DE CADA ANO OU NO MÊS DO TÉRMINO DO BENEFÍCIO DE RENDA, PROPORCIONALMENTE AO NÚMERO DE MESES DURANTE OS QUAIS O ASSISTIDO PERCEBEU O BENEFÍCIO DE RENDA, NO CURSO DO MESMO ANO.;0
