NU_CNPB_PLANO_DA;SG_PLANO_DA;NM_SITUACAO_PLANO_DA;NM_CARACTERISTICA;NM_MODALIDADE;NM_LEGISLACAO;NU_DURATION_MESES;TE_OBSERVACAO_DURATION;CS_MOTIVO;TIPO;CS_SITUACAO;DT_AVALIACAO;DT_CADASTRO;TE_OBSERVACOES;TE_RELATORIOS;IN_PATRIMONIO_GRUPO;VL_PATRIMONIO_COBERTURA;VL_INSUFICIENC_COBERTURA;DT_TRANSMISSAO;ID_RETIFICADA;NM_ATUARIO;NU_REGISTRO_MIBA;NU_REGISTRO_MTE;NM_EMPRESA_EXTERNA;NM_PLANO_DA;SG_EFPC_DA;NU_CNPJ_EFPC_DA;NM_RAZAO_SOCIAL_EFPC_DA;NU_MATRICULA_EFPC
2005000892;PLANO JMALUCELLI;ATIVO;Patrocinado;Contribuição Definida;LC 109;225;Prazo médio de recebimento do benefício de 15 anos e tempo médio de acumulação;1;Simplificada;2;31/12/2022 00:00;31/12/2022 00:00;;;1;44032499.14;;13/02/2023 00:00;;RITA PASQUAL ANZOLIN;822;MIBA 822;ATUAPREV CONSULTORIA ATUARIAL LTDA;PLANO DE BENEFÍCIOS JMALUCELLI;MAIS FUTURO;7.13645E+12;FUNDO DE PREVIDENCIA MAIS FUTURO;4221
2006004247;PLANO ACPREV;ATIVO;Instituído;Contribuição Definida;LC 109;207;Prazo médio de recebimento do benefício estimado em 15 anos além do tempo de acumulação;1;Simplificada;2;31/12/2022 00:00;31/12/2022 00:00;;;1;39370515.94;;13/02/2023 00:00;;RITA PASQUAL ANZOLIN;822;MIBA 822;ATUAPREV CONSULTORIA ATUARIAL LTDA;PLANO DE BENEFÍCIOS ACPREV;MAIS FUTURO;7.13645E+12;FUNDO DE PREVIDENCIA MAIS FUTURO;4221
2012001629;PLANO DENTALUNIPREV;ATIVO;Instituído;Contribuição Definida;LC 109;222;"Duração dos benefícios estimado em 15 anos além do tempo de acumulação
";1;Simplificada;2;31/12/2022 00:00;31/12/2022 00:00;;;1;17309434.81;;13/02/2023 00:00;;RITA PASQUAL ANZOLIN;822;MIBA 822;ATUAPREV CONSULTORIA ATUARIAL LTDA;PLANO DE BENEFÍCIOS DENTALUNIPREV;MAIS FUTURO;7.13645E+12;FUNDO DE PREVIDENCIA MAIS FUTURO;4221
2012001874;MAIS FUTURO(FAMÍLIA);ATIVO;Instituído;Contribuição Definida;LC 109;213;Prazo médio de recebimento do benefício estimado em 15 anos além do tempo de acumulação;1;Simplificada;2;31/12/2022 00:00;31/12/2022 00:00;;;1;68310469.66;;13/02/2023 00:00;;RITA PASQUAL ANZOLIN;822;MIBA 822;ATUAPREV CONSULTORIA ATUARIAL LTDA;PLANO COOPERATIVO DE PREVIDÊNCIA MAIS FUTURO;MAIS FUTURO;7.13645E+12;FUNDO DE PREVIDENCIA MAIS FUTURO;4221
2015001883;COPANPREV;ATIVO;Instituído;Contribuição Definida;LC 109;249;Prazo médio de recebimento do benefício estimado em 15 anos, mais tempo médio de acumulação;1;Simplificada;2;31/12/2022 00:00;31/12/2022 00:00;;;1;6597628.65;;24/02/2023 00:00;;RITA PASQUAL ANZOLIN;822;MIBA 822;ATUAPREV CONSULTORIA ATUARIAL LTDA;PLANO DE BENEFÍCIOS COPANPREV;MAIS FUTURO;7.13645E+12;FUNDO DE PREVIDENCIA MAIS FUTURO;4221
1980001138;PLANO CAVA;ATIVO;Patrocinado;Benefício Definido;LC 109;85;"Duration do plano apurada através do Sistema Venturo, disponibilizado pela PREVIC.																																										 																																										
																																										
";1;Completa;2;31/12/2022 00:00;30/11/2022 00:00;-;;1;51340482.93;0;24/02/2023 00:00;;IVAN SANT ANA ERNANDES;506;506;ATEST CONSULTORIA ATUARIAL LTDA - ME;PLANO DE BENEFÍCIOS PREVIDENCIÁRIOS CAVA;CAVA;1.72094E+13;CAIXA VICENTE DE ARAUJO DO GRUPO MERCANTIL DO BRASIL - CAVA;2107
1981000518;ÚNICO;ATIVO;Patrocinado;Benefício Definido;LC 108/109;135;"Duration do plano apurada através do Sistema Venturo, disponibilizado pela PREVIC.																																										 																																										
																																								";1;Completa;2;31/12/2022 00:00;31/12/2022 00:00;-;;1;602144598;0;01/03/2023 00:00;;JAQUELINE FIGUEIREDO FERREIRA COSTA;2211;2211;ATEST CONSULTORIA ATUARIAL LTDA - ME;ÚNICO;DERMINAS;2.18556E+13;DERMINAS SOCIEDADE CIVIL DE SEGURIDADE SOCIAL;299
2010004711;GE AVIATION;ATIVO;Patrocinado;Contribuição Variável;LC 109;103;A duration do passivo é definida a partir do valor presente do fluxo atuarial líquido do plano de benefícios, trazido a valor presente com base na taxa real de juros utilizada na avaliação atuarial, ponderado pelo tempo acumulado do fluxo, conforme Instrução PREVIC nº 33/2020 e sistema Venturo da PREVIC.;1;Completa;2;31/12/2022 00:00;31/07/2022 00:00;O presente documento tem como finalidade apresentar o Parecer Técnico Atuarial do Plano GE AVIATION, decorrente da Avaliação Atuarial Anual, referente ao encerramento do exercício.;;1;6786795.15;-1505916.85;03/03/2023 00:00;;DANIEL PEREIRA DA SILVA;1146;1146;todo;PLANO DE BENEFÍCIOS GE AVIATION;GEBSA-PREV;7.39959E+13;GEBSA-PREV-SOCIEDADE DE PREVIDENCIA PRIVADA;2909
2016000465;PLANO GE ENERGIA;ATIVO;Patrocinado;Contribuição Definida;LC 109;120;A duration do passivo e definida a partir do valor presente do fluxo atuarial liquido do plano de beneficios, trazido a valor presente com base na taxa real de juros utilizada na avaliacao atuarial, ponderado pelo tempo acumulado do fluxo, conforme Instrucao PREVIC n 33/2020 e sistema Venturo da PREVIC. Tendo em vista a modalidade do Plano, qual seja, Contribuicao Definida, a duration foi definida em 10 anos (120 meses).;1;Simplificada;2;31/12/2022 00:00;31/07/2022 00:00;Avaliacao realizada para fins de encerramento do exercicio e fechamento do balanco anual da Fundacao.;;1;287234749.1;;04/03/2023 00:00;;DANIEL PEREIRA DA SILVA;1146;1146;todo;PLANO DE APOSENTADORIA GE ENERGIA;GEBSA-PREV;7.39959E+13;GEBSA-PREV-SOCIEDADE DE PREVIDENCIA PRIVADA;2909
2016000619;PLANO PREVER;ATIVO;Patrocinado;Contribuição Definida;LC 109;0;O plano não utiliza taxa de juros.;1;Simplificada;2;31/12/2022 00:00;31/12/2022 00:00;Plano CD puro.;;1;160381775.3;;06/03/2023 00:00;;FELIPE TEIXEIRA MARTINI;;3501;todo;PLANO DE BENEFICIOS PREVER;FAPERS;8.77522E+13;FUNDACAO ASSISTENCIAL E PREVIDENCIARIA DA EXTEN RURAL NO RS;1403
