NU_MATRICULA_EFPC;ID_DEMONSTRACAO_ATUARIAL;NU_CNPB_PLANO_DA;QTD_PART_ATIVOS;VR_FOLHA_SAL;QTD_GRUPOS
14;2757024;2008001083;2140;0;1
14;2757040;1980000883;41;3359056.09;1
14;2757054;1992000174;1117;142568660.8;1
31;2677593;1988003156;3031;274777206;4
45;2665788;1999002474;766;53678703.52;1
59;2689137;1982000783;11;988084.5;1
59;2689141;1982001811;0;0;1
59;2694813;2012000819;98;0;1
59;2706157;2000008119;5929;696554133.1;8
81;2683032;1998001229;1177;151003083.1;1
81;2688762;2017000256;722;64087210.46;1
93;2679033;2006007556;1;0;1
93;2679043;2015001565;0;0;1
93;2683091;1979002592;3;0;1
93;2685105;2015001638;0;0;1
93;2685108;2015001719;0;0;1
93;2689255;2000002374;0;0;1
93;2726634;2005003956;205;17937596.28;1
93;2726636;1996002929;1716;202913409.1;1
93;2727358;1996002856;1382;229794332.8;1
93;2727360;2000002692;389;33481739.59;5
93;2732762;1987000129;94;3679320.19;4
93;2732766;1994000619;217;19082492.13;4
117;2683135;1979004765;126;4507760;1
117;2685215;2013002165;453;55099665.92;1
117;2689567;2009001338;5260;482256038;5
117;2692156;2013002238;3066;487747578;5
117;2694876;2018002147;132;21733670.79;5
121;2690179;1986000265;30;3301420.46;1
121;2690181;1998003711;178;6972296.08;1
134;2659673;1986000818;4695;707536491;1
151;2659687;1980000956;410;42910567.44;1
151;2659905;1996004174;8440;865309751.9;1
165;2657657;1979001911;6;438271;1
182;2678775;1967000174;1055;287257.79;1
182;2690430;2010001419;5715;1069908742;1
196;2707666;1984000438;2;83495.28;1
196;2707672;1999004183;43;4167233.28;1
206;2676181;2010005538;7970;678414131;1
206;2676243;1988000874;1492;136517472;1
211;2672434;1996005219;0;102481859.4;1
211;2678785;1997002329;3853;0;1
211;2682912;2021000192;52;0;1
211;2685261;1996005138;3633;410093792.5;2
223;2672358;2002004838;583;193382466.7;1
223;2672362;2019003929;561;0;1
223;2672422;1980000492;0;0;1
223;2678811;2011000874;45;11253491.37;1
237;2661916;2018000365;974;0;1
237;2678805;2014000883;209;4050751.2;1
237;2686719;2007003147;305;1760461.58;1
237;2686725;1982000856;0;0;1
237;2686729;2005002356;1268;14135628.76;1
237;2686731;1981000119;1;4281.65;1
237;2686733;1979000565;0;0;1
237;2686735;2007000792;4256;62251516.77;1
237;2686737;1979000492;2362;29455711.71;1
237;2686739;2007002574;941;7571742.65;1
237;2686741;2007002647;1311;10022634.25;1
237;2686743;1982000147;3;2035.75;1
237;2686745;2009001192;442;5135006.46;1
237;2686747;2007000865;77;955187.84;1
237;2686749;2007001047;26;337142.96;1
237;2686751;2013000911;56;935130.9;1
237;2692449;2005002283;356;3738531.35;1
237;2692455;2007003392;458;2985363.17;1
241;2713627;2010003683;615;100348165;1
241;2721547;1979003947;19;3079653.01;1
254;2657805;1987000447;2471;152142857.8;1
254;2661400;2020003147;143;14094031.38;1
268;2677513;1979003874;4184;426820197.1;1
271;2688231;2008002111;43;4381319.15;1
271;2688312;1983000256;74;4344987.41;1
285;2684949;1979001774;1064;1850604.47;1
285;2684953;1998005283;7720;831809731.4;1
285;2684956;2006000756;11652;2065841935;1
299;2642297;1981000518;4817;18582061.49;1
309;2684381;2019001519;43;0;1
309;2684930;1979003629;243;57350793.15;1
309;2688314;2011000165;96;15373700.94;1
309;2690151;2019001683;3;0;1
312;2678813;1978000138;2077;1530722.05;1
312;2679011;1978000219;1053;250234377.3;1
312;2679017;1978000383;693;139927248;1
312;2679019;2006003429;6720;952822983.7;1
326;2679054;1979002118;16;3233980;1
326;2679059;2000005683;1070;237475077.3;1
326;2679090;2009002938;295;60346394.55;1
326;2679990;2006001574;941;212315711.8;1
357;2682862;2006006811;593;73841301.41;1
357;2683062;2020000611;17;713448.19;1
357;2683064;1993000429;11;1491077.77;1
361;2683105;1980002029;9;1383888.96;1
361;2688398;2001002165;3387;708796077.6;1
361;2688401;2001002238;438;117970024.7;1
388;2689153;1985001438;212;21450608.92;1
391;2684794;2019000156;57;8976911.58;1
391;2684803;2020001519;121;0;1
391;2689183;1979001529;2551;1167848820;2
401;2664734;1988000629;76;3113128.56;1
401;2664736;1997000611;4160;411091717.1;1
494;2675541;2010000838;567;0;1
494;2688383;1981001174;306;0;1
504;2659675;1998002918;9;659047.22;1
504;2692087;1982001119;253;24644712;1
535;2655730;1982000538;6042;46641751.8;1
535;2667497;2019002574;1184;0;1
535;2683445;2021002292;50;0;1
549;2670393;2010005929;3209;204105134;1
549;2670405;1979001456;1337;109111313.2;1
549;2670407;2005003883;4073;20909702;1
552;2662443;1979002665;4;532503.27;1
552;2662445;2002000638;1981;246480086.8;1
552;2662447;2002004692;160;36216654.63;1
571;2660393;2020002418;691;0;1
571;2662215;1988001218;1331;283225784.4;1
607;2717629;1986000338;0;0;1
611;2653028;1983000418;200;33268159.26;1
611;2653030;1984001019;116;12132691;1
611;2659407;1998003183;0;0;1
611;2659411;1997004038;5404;638571114;1
611;2659413;2009002865;9757;1073758031;1
611;2659415;1979004056;2968;173441923;1
611;2659665;1979000956;631;59904022.56;1
611;2659669;1980001529;5;601590;1
611;2659911;1990000347;38;3141426.24;1
611;2659923;2009002547;2413;121640967;1
611;2661364;1997004674;1773;109709049.7;1
611;2661425;2009002611;905;76490545;1
611;2661449;2006005383;2;0;1
611;2662221;2019002183;1215;120790280;1
611;2662237;1990000592;26;2430598.2;1
611;2662671;2010004418;423;51012473.28;1
611;2670357;2019002019;1810;163337855;1
655;2661181;2004001356;167;0;1
655;2661185;2004002565;70;0;1
655;2661187;2005000411;207;0;1
655;2661189;2005000711;19;0;1
655;2661191;2006001256;46;0;1
655;2661195;2009000692;11;0;1
655;2661197;2009001974;11;0;1
655;2661199;2009002792;87;0;1
655;2661201;2009003047;9;0;1
655;2661203;1999003111;138;29076512.14;1
655;2661205;2000005918;38;4611744.93;1
655;2661209;2002000492;545;42818646.39;1
655;2661215;2008002756;314;38812454.72;1
655;2661381;2010000447;683;99994876.54;1
655;2661385;2010001583;302;21479512.6;1
655;2661392;2010002547;1402;114171963.6;1
655;2661398;2006000511;0;0;1
655;2662657;2009000374;45;0;1
655;2662662;2002001911;91;13561780.31;1
655;2672482;2004002638;1352;148305157.3;2
655;2682840;2021000011;516;117919154;1
655;2682877;2021003183;2222;314356919.2;1
655;2683081;2002003874;123;6931933.97;2
655;2683141;2010004019;81;14442407.72;2
655;2683149;2007001519;41178;11958552775;2
655;2685237;1970000147;450;128965820.9;1
655;2685239;2003002383;0;0;1
655;2685243;2003002456;28;4383969.17;1
655;2685248;2018000292;2789;503174688.3;1
655;2685252;2019003619;0;0;1
655;2685255;2019003783;4;1196244.32;1
655;2688810;2003002618;8;478479.43;2
686;2694307;2022000765;137;31079142.54;1
686;2694309;2022001192;45;10520012.75;1
686;2694313;2022001818;105;22977040.97;1
686;2710718;2022001656;233;47171194.04;1
686;2710728;2022001729;73;13053355.82;1
686;2716573;1978000529;86;13667835.29;7
691;2662441;2002004765;77942;5649934876;1
691;2663332;1981000429;41978;375476430.2;1
713;2662455;2006001892;467;65246045.54;2
713;2662457;2021003418;113;19723517.84;1
713;2665819;1983000183;48;4206722.65;1
713;2665821;1998006174;38;3337881.17;1
713;2670960;2011000556;832;158775215.2;6
727;2688276;1971000256;3;700798.54;1
731;2666898;1987000765;2823;330531577.9;1
731;2677573;1982002956;187;26939082.17;2
744;2689157;1986000729;7162;671736258.2;10
758;2662696;1981001719;94;2104376.52;1
758;2662700;2002002411;9411;665667805.1;9
775;2683425;2007002965;26;0;1
792;2676187;1999003047;212;21198681.02;2
792;2676277;1988000718;19;9364292.29;1
792;2676281;1998000818;0;0;1
792;2676285;1998000974;10;2735515.11;1
792;2676293;1999002938;2077;632479936.8;2
792;2689210;1999002865;1377;159848872.8;2
802;2689623;1977000118;4;274120.73;2
802;2689631;2003001956;557;110017310.4;1
821;2683020;1988000238;3692;231881822.8;1
864;2670323;1971000183;677;164561996.6;1
864;2670327;2002000311;2524;594750316.6;1
878;2690420;1999003918;1148;115937163.7;1
881;2685016;1979000247;98;12342043.74;1
881;2685019;1994000929;189;16060984.94;1
881;2685023;1999004256;121;12699003.85;1
881;2685029;2000003729;118;16184519.91;1
881;2685032;2000003974;237;12158606.07;1
881;2685035;2002001065;190;12795024.06;1
881;2685038;2008001619;75;4610638.5;1
881;2688389;2000003656;2003;299054322.1;1
895;2655707;2012001718;248;54904952.5;1
895;2655721;2017000183;597;52168194.42;1
895;2657787;2014002118;773;116049892.6;1
895;2669096;2020001829;376;0;1
895;2669160;1985000792;349;80773099.55;1
895;2683151;2000002511;2341;401465047.2;1
919;2743635;1980000719;8744;827021438.2;4
922;2651623;2013000847;1069;280652794.8;1
922;2652836;1981001018;0;0;1
922;2652842;2017001392;213;0;1
936;2677527;1990001483;2843;280374645.8;1
936;2677539;2010002156;8122;873805446.2;1
936;2686279;1998003256;853;98614909.08;1
941;2690454;1980001618;1528;130777465.9;1
941;2690456;1998007774;6173;1204597558;1
953;2682971;1976000165;1;69707.95;1
953;2682973;1976000238;12;810618.27;1
967;2689552;2013001592;1197;125758914.8;1
967;2689583;2000000983;0;0;1
967;2689625;2002003947;268;40428913.2;1
967;2690171;2000004318;312;53901871.14;1
967;2690432;1991001029;0;0;2
967;2690442;2000001947;6;1032065.71;1
967;2690448;2000000819;2;281437;1
971;2657555;2000006711;18569;389894441;1
984;2655327;2005001538;188;1661610.9;1
984;2655347;1981000992;0;0;1
984;2655351;1994002883;15;113866.84;1
984;2682928;1985001292;0;0;1
984;2682930;2017001211;2674;152415394.9;1
984;2682932;1990001629;0;0;1
984;2683117;2000007783;331;21808202.52;1
984;2683139;1985001365;0;0;1
998;2683143;1988001129;0;0;2
998;2683147;1998006638;6996;788552662.8;1
1033;2677517;1979003556;0;0;1
1033;2683038;1996003674;15607;809522175;1
1033;2685136;1975000218;16;748346.3;1
1033;2694666;2000007538;1085;88700561.56;4
1051;2689240;1991001411;23959;1931925660;1
1078;2668558;1984000918;5165;456914245;1
1081;2686723;1979004692;17;1679979.99;1
1081;2689165;2002001456;1630;234924933.8;1
1081;2690621;1979004374;193;12837527.56;1
1081;2712394;1979004447;182;577667.48;1
1105;2677523;1974000419;2;232757.2;1
1105;2677529;1997003147;1629;173979737.9;3
1105;2677533;2010001265;3732;199028729;1
1136;2689224;1980001911;73;7519770;1
1136;2689232;1998005992;0;0;1
1136;2689236;1998006018;0;0;1
1171;2709207;1981001492;96;15068004.51;1
1171;2709211;2000008429;28;4200173.39;1
1184;2679037;1979005583;27262;0;1
1184;2679094;1984000292;6005;461334263.7;1
1184;2679098;1984000111;274;18816782.59;1
1198;2694781;2019001111;2347;0;1
1198;2694873;1998003019;4032;289440683.6;1
1208;2682980;1979005265;1;41436.59;1
1208;2682982;1995003956;6530;469366504.7;2
1208;2682984;1998001474;0;0;1
1208;2682986;2013001411;16623;601850181.4;1
1239;2672371;2018000829;271;37081973.76;1
1239;2672382;2021000656;3;0;1
1239;2672386;2020000083;183;27491095.06;1
1239;2672400;2020000792;3218;212927421.6;1
1239;2672404;2018001418;107;12569663.99;1
1239;2672407;2019000229;2337;0;1
1239;2672410;2019002965;59;8706231.69;1
1239;2682866;2018000918;296;36738520.39;1
1239;2682870;2020000156;1840;130937969.6;1
1239;2682908;1998007383;54;9461102.17;1
1239;2683068;1979002819;6493;488339619.8;3
1239;2683070;1979003238;3565;338004674.7;2
1239;2683072;1982002174;973;168666776.3;3
1239;2683074;1979002983;488;82362936.37;3
1239;2683087;1979003092;537;0;3
1239;2683145;1982002247;2645;0;3
1239;2683437;2022000511;103;16947511.36;1
1239;2683441;2022002547;60;9135780;1
1239;2683457;1979002738;311;0;3
1239;2684863;1979003319;493;57890433;1
1239;2688290;1982002311;2355;0;3
1239;2716345;2022001011;43;5772568.1;1
1239;2721545;1979003165;2870;401425157.6;3
1242;2682910;2021001792;1602;463737304;1
1242;2683040;1985001519;4873;511533861;2
1242;2683125;1985001683;2525;427797358;2
1256;2710669;2009001265;1936;95413185.4;3
1261;2661724;1980000311;124;0;1
1261;2661726;2005006165;1116;194343441.7;1
1273;2677599;1985000229;0;0;1
1314;2683157;1985000156;149;10662939;1
1345;2689127;2000006965;995;126697523.8;1
1345;2690635;1980002347;0;0;1
1359;2661168;2014001774;1097;134430376.9;1
1359;2683034;1991002165;1354;180460162.9;2
1359;2683036;1991002238;1250;160206788.3;2
1381;2682844;2006005138;845;90539094.1;1
1381;2683024;1980002411;50;1789417.24;1
1393;2653404;1999005147;376;40188936.06;1
1403;2648209;2016000619;869;6861271.95;1
1403;2648217;1981000747;0;0;1
1403;2648220;2000008038;563;3695834.1;1
1403;2648224;2008004783;67;62225.11;1
1434;2661453;1985000474;44;0;1
1434;2661457;1996002211;7;501387.34;1
1434;2661461;2008000974;344;26755880.3;1
1434;2661465;2009003292;65;6871727.91;1
1434;2669211;1986000192;8;512112.64;1
1434;2669219;1997000474;2;66469;1
1434;2669223;2005005029;2310;214971312.4;1
1434;2669227;2015000747;20;898705.84;1
1434;2670345;2000000411;36;829574.62;1
1451;2694642;1979001618;488;135424377.7;1
1451;2712790;2006002929;894;0;1
1479;2689085;2012000738;616;81492345.22;1
1479;2689173;1997002711;5737;935356896.5;1
1479;2690452;1997002892;148;2071682.34;1
1482;2655105;1987001011;0;0;1
1482;2655343;1987001811;0;0;1
1482;2655854;1987001192;0;0;1
1482;2655882;1987001265;1;0;1
1482;2655884;1994004274;1;0;1
1482;2655886;1988002656;4;313339.95;1
1482;2655967;2005004138;306;22148558.38;2
1482;2655972;2006003038;44;3587902.77;2
1482;2655978;2010004965;192;17225067.34;1
1482;2656108;2009001011;395;26702466.57;1
1482;2656177;2005001074;41;2877544.39;1
1482;2656185;1999001818;172;16777900;1
1482;2656189;2005004383;2141;113213421.4;1
1482;2656193;2009001818;230;24750282;1
1482;2657001;2008002438;55;2947000;1
1482;2657053;1990001947;2249;9571397.55;1
1482;2657477;2011000483;127;0;1
1482;2657487;2002001618;757;4129914.64;1
1482;2657499;2000003192;95;785885.26;1
1482;2657511;2000004083;474;2922035.89;1
1482;2657961;1993001565;85;8422050.89;1
1482;2657967;1998003418;141;10632231.84;1
1482;2661374;2005005665;353;3533566.42;1
1482;2661436;1996002538;85;464920.82;1
1482;2665706;2010002938;83;8351253.96;1
