NU_CNPB_PLANO_DA;ID;ORIGEM;ID_PROVISAO_CONSTITUIR;SM_ATIVO_PROVISAO_CONST;SM_ATIVO_DEFICIT;VL_ATIVO_DEFICIT_PATRO;VL_ATIVO_DEFICIT_PART;VL_ATIVO_DEFICIT_ASSIST;SM_ATIVO_SER_PASSADO;VL_ATIVO_SER_PAS_PATRO;VL_ATIVO_SER_PAS_PART;VL_ATIVO_SER_PAS_ASSIST;SM_ATIVO_OUT_FINALIDADE;VL_ATIVO_OUT_FIN_PATRO;VL_ATIVO_OUT_FIN_PART;VL_ATIVO_OUT_FIN_ASSIST;QT_MESES_ATIVO_D_PATRO;QT_MESES_ATIVO_D_PART;QT_MESES_ATIVO_D_ASSIST;QT_MESES_ATIVO_S_PATRO;QT_MESES_ATIVO_S_PART;QT_MESES_ATIVO_S_ASSIST;QT_MESES_ATIVO_O_PATRO;QT_MESES_ATIVO_O_PART;QT_MESES_ATIVO_O_ASSIST;SM_PASSIVO_PROVISAO_CONST;SM_PASSIVO_DEFICIT;VL_PASSIVO_DEFICIT_PATRO;VL_PASSIVO_DEFICIT_PART;VL_PASSIVO_DEFICIT_ASSIST;SM_PASSIVO_SER_PASSADO;VL_PASSIVO_SER_PAS_PATRO;VL_PASSIVO_SER_PAS_PART;VL_PASSIVO_SER_PAS_ASSIST;SM_PASSIVO_OUT_FINALIDADE;VL_PASSIVO_OUT_FIN_PATRO;VL_PASSIVO_OUT_FIN_PART;VL_PASSIVO_OUT_FIN_ASSIST;QT_MESES_PASSIVO_D_PATRO;QT_MESES_PASSIVO_D_PART;QT_MESES_PASSIVO_D_ASSIST;QT_MESES_PASSIVO_S_PATRO;QT_MESES_PASSIVO_S_PART;QT_MESES_PASSIVO_S_ASSIST;QT_MESES_PASSIVO_O_PATRO;QT_MESES_PASSIVO_O_PART;QT_MESES_PASSIVO_O_ASSIST;ID_DEMONSTRACAO_ATUARIAL;ID_GRUPO_CUSTEIO_DA
2010004711;2647912;1;41131;703264.67;703264.67;703264.67;0;0;0;0;0;0;0;0;0;0;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2647912;
1981000747;2648217;1;41137;1542890.13;0;0;0;0;0;0;0;0;1542890.13;1542890.13;0;0;0;0;0;0;0;0;136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2648217;
2000008038;2648220;1;41139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2130645.37;2130645.37;0;0;2130645.37;0;0;0;0;0;0;0;0;0;0;139;0;0;0;0;0;0;2648220;
2008004783;2648224;1;41141;66266283.38;43857818.81;43857818.81;0;0;0;0;0;0;22408464.57;22408464.57;0;0;136;0;0;0;0;0;133;0;0;41324135.83;41324135.83;0;0;41324135.83;0;0;0;0;0;0;0;0;0;0;136;0;0;0;0;0;0;2648224;
2017001392;2652842;1;41151;32427419.19;0;0;0;0;0;0;0;0;32427419.19;32427419.19;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2652842;
1993003411;2653077;1;41172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2653077;
1999005147;2653404;1;41174;11962552.95;11962552.95;11962552.95;0;0;0;0;0;0;0;0;0;0;88;0;0;0;0;0;0;0;0;12425512.65;11378371.58;0;77223.27;11301148.31;1047141.07;0;1047141.07;0;0;0;0;0;0;14;190;0;13;0;0;0;0;2653404;
1980001774;2653412;1;41179;5494533.67;5494533.67;5494533.67;0;0;0;0;0;0;0;0;0;0;102;0;0;0;0;0;0;0;0;5980758.35;5980758.35;5980758.35;0;0;0;0;0;0;0;0;0;0;112;0;0;0;0;0;0;0;0;2653412;
1988000165;2653416;1;41185;2712461.89;2712461.89;2712461.89;0;0;0;0;0;0;0;0;0;0;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2653416;
2010002083;2654526;1;41192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5574844.2;0;0;0;0;5574844.2;5574844.2;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;2654526;
1982003065;2654529;1;41194;276713162.3;276713162.3;276713162.3;0;0;0;0;0;0;0;0;0;0;178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2654529;
1979000174;2654677;1;41196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170774777.8;94922297.18;47461148.59;47461148.59;0;0;0;0;0;75852480.6;0;0;75852480.6;72;72;0;0;0;0;0;0;130;2654677;
1987001011;2655105;1;41198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2655105;
1987001811;2655343;1;41200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2655343;
