NU_CNPB_PLANO_DA;ID;ORIGEM;ID_RESULTADO_PLANO;VL_RESULTADO_EXERCICIO;VL_DEFICIT_TECNICO;VL_SUPERAVIT_TECNICO;VL_RESERVA_CONTINGENCIA;VL_RESERVA_ESPECIAL;ID_DEMONSTRACAO_ATUARIAL
1980001138;2615041;1;22881;2025797.31;0;3203748.87;3203748.87;0;2615041
1981000518;2642297;1;22884;1607352.55;0;80648483.27;80648483.27;0;2642297
2010004711;2647912;1;22885;-907747.81;1505916.85;0;0;0;2647912
1981000747;2648217;1;22886;1397627.82;0;1397627.82;1397627.82;0;2648217
2000008038;2648220;1;22887;-16828842.77;16828842.77;0;0;0;2648220
2008004783;2648224;1;22888;-45307358.53;45307358.53;0;0;0;2648224
1979003718;2649999;1;22890;-6624091.65;0;37254341.58;32488352.98;4765988.6;2649999
2013000847;2651623;1;22892;0;0;0;0;0;2651623
1974000192;2652576;1;22893;8246987.1;0;8246987.1;5406954.21;2840032.89;2652576
1981001018;2652836;1;22894;3473206.77;0;7822370.93;7822370.93;0;2652836
2017001392;2652842;1;22895;-370520.33;0;7061021.25;7061021.25;0;2652842
1983000418;2653028;1;22896;13520678.79;10546460.57;0;0;0;2653028
1984001019;2653030;1;22897;96153770.46;0;384765478.1;367642183.4;17123294.69;2653030
1993003411;2653077;1;22898;-569145.36;0;21108.14;21108.14;0;2653077
1999005147;2653404;1;22899;9740392.88;0;9740392.88;9740392.88;0;2653404
1997001829;2653408;1;22900;184938.86;0;184938.86;184938.86;0;2653408
1980001774;2653412;1;22901;6088395;0;4962863.4;4962863.4;0;2653412
1988000165;2653416;1;22902;4464718.73;1548834.87;0;0;0;2653416
2008004619;2653896;1;22903;736975641.4;0;0;0;0;2653896
2010002083;2654526;1;22904;1409894.47;0;10400310.81;461636.28;9938674.53;2654526
1982003065;2654529;1;22905;-4570658.65;70919119.86;0;0;0;2654529
1979000174;2654677;1;22906;54233877.78;54233877.78;0;0;0;2654677
1987001011;2655105;1;22907;2384894.45;0;23865779.58;15805363.56;8060416.02;2655105
1987001811;2655343;1;22908;3431972.44;0;9842438.01;5925816.24;3916621.77;2655343
1981000992;2655347;1;22909;4138665.78;0;4138665.78;4138665.78;0;2655347
1994002883;2655351;1;22910;3501688.12;0;3501688.12;3044658.34;457029.78;2655351
1982000538;2655730;1;22911;66179606.99;71844602.79;0;0;0;2655730
1987001192;2655854;1;22912;2920530.95;6938494.9;0;0;0;2655854
1987001265;2655882;1;22913;8974696.65;8306049.34;0;0;0;2655882
1994004274;2655884;1;22914;1494504.02;0;1924637.74;1924637.74;0;2655884
1988002656;2655886;1;22915;354236.34;0;9279334.08;997105.82;8282228.26;2655886
2004001992;2655931;1;22916;1182535.69;0;1564249.74;1506529.14;57720.6;2655931
2005000183;2655933;1;22917;0;0;0;0;0;2655933
1988002419;2655935;1;22918;-1813333.47;20735989.04;0;0;0;2655935
1999000919;2655937;1;22919;10946.86;0;69851.6;18061.14;51790.52;2655937
2006003038;2655972;1;22920;27704.16;0;64271.83;46605.74;17666.09;2655972
2006000911;2655974;1;22921;1702907.8;0;4350990.53;2632683.42;1718307.11;2655974
2010004965;2655978;1;22922;0;0;0;0;0;2655978
1990001319;2656161;1;22923;-10069402.95;28810554.05;0;0;0;2656161
1999002083;2656165;1;22924;21649.55;0;200944.85;0;200944.85;2656165
2008001474;2656169;1;22925;17749.27;0;116897.19;0;116897.19;2656169
2005001074;2656177;1;22926;204324.87;4861819.93;0;0;0;2656177
1999001818;2656185;1;22927;4163441.25;0;205188.38;205188.38;0;2656185
2005004383;2656189;1;22928;-124714.2;158556.31;0;0;0;2656189
2009001818;2656193;1;22929;0;0;0;0;0;2656193
1999000838;2656392;1;22930;-99626.65;0;323221.86;323221.86;0;2656392
1998004783;2657047;1;22931;0;342460.94;0;0;0;2657047
1990001947;2657053;1;22932;-13754110.64;13754110.64;0;0;0;2657053
1989000819;2657547;1;22933;-4659020.77;4022150.3;0;0;0;2657547
2009001583;2657553;1;22934;0;0;0;0;0;2657553
2000006711;2657555;1;22935;5010461.43;0;7908754.88;6926755.88;981999;2657555
1979001911;2657657;1;22936;94727017.25;0;8900540.36;8900540.36;0;2657657
1998004929;2657801;1;22937;0;0;0;0;0;2657801
1987000447;2657805;1;22938;26148061.97;50150216.55;0;0;0;2657805
1998003647;2657808;1;22939;0;0;0;0;0;2657808
1998006565;2657811;1;22940;0;0;0;0;0;2657811
1993001565;2657961;1;22941;3893354.04;0;1098005.23;1098005.23;0;2657961
1998003418;2657967;1;22942;1609706.83;0;694327.31;305392.55;388934.76;2657967
2005005274;2658577;1;22943;0;0;0;0;0;2658577
2019001829;2658579;1;22944;0;0;0;0;0;2658579
1904000118;2659403;1;22945;0;0;0;0;0;2659403
1998003183;2659407;1;22946;11903367.66;0;7990762.92;7990762.92;0;2659407
1997004038;2659411;1;22947;9146.7;0;180630.05;180630.05;0;2659411
2009002865;2659413;1;22948;0;0;0;0;0;2659413
1979004056;2659415;1;22949;63361705.48;0;1550725039;1550725039;0;2659415
1979000956;2659665;1;22950;89337375.86;27332691.92;0;0;0;2659665
1980001529;2659669;1;22951;0;0;0;0;0;2659669
1986000818;2659673;1;22952;-17162094.48;84756126.93;0;0;0;2659673
1998002918;2659675;1;22953;0;0;0;0;0;2659675
1995002356;2659679;1;22954;-6474657.67;0;3782946.51;3782946.51;0;2659679
1973000156;2659681;1;22955;925446198.4;0;2624217622;1520397664;1103819958;2659681
1980000956;2659687;1;22957;-53790211.47;0;45505250.37;45505250.37;0;2659687
1996004174;2659905;1;22958;-8055210.07;6895733.41;0;0;0;2659905
1990000347;2659911;1;22959;228956.52;0;7334606.83;7334606.83;0;2659911
2000008283;2659913;1;22960;44943991.57;0;44943991.57;44943991.57;0;2659913
2012000274;2659919;1;22961;398268.52;0;1067682.24;159508.47;908173.77;2659919
2009002547;2659923;1;22962;49564290.48;0;0;0;0;2659923
1988002729;2659926;1;22963;25521303.3;0;25521303.3;16074522.13;9446781.17;2659926
2016001747;2660170;1;22964;-766891.64;2554075.58;0;0;0;2660170
1990000983;2661004;1;22965;-1889865.64;1937614.79;0;0;0;2661004
2009002611;2661425;1;22966;13176718.18;7749821.16;0;0;0;2661425
1996002538;2661436;1;22967;0;0;0;0;0;2661436
2006005383;2661449;1;22968;0;0;0;0;0;2661449
1985000474;2661453;1;22969;1558581.15;19466273.74;0;0;0;2661453
1996002211;2661457;1;22970;15034858.6;0;117352886.1;29922443.54;87430442.53;2661457
2008000974;2661461;1;22971;0;0;0;0;0;2661461
2009003292;2661465;1;22972;-58698.03;255762.68;0;0;0;2661465
2010003365;2661586;1;22973;49733537.55;0;230027255.9;125951156.6;104076099.3;2661586
1980000311;2661724;1;22974;0;0;0;0;0;2661724
2005006165;2661726;1;22975;119405.72;0;119405.72;119405.72;0;2661726
1993001719;2661728;1;22976;48801.51;0;3012026.97;2546807.98;465218.99;2661728
1995002747;2661730;1;22977;-5785375.85;0;6911643.44;6911643.44;0;2661730
2011001838;2661734;1;22978;136841.3;0;207295.94;207295.94;0;2661734
2018000365;2661916;1;22979;0;0;0;0;0;2661916
1988001218;2662215;1;22980;82960462.16;367264820.9;0;0;0;2662215
