NU_CNPB_PLANO_DA;ID_PROVISAO_MATEMATICA;TX_PERC_CUSTO_ANO;VL_CUSTO_ANO;SM_PROVISAO_MATEMATICA;SM_BENEFICIOS_CONCEDIDOS;SM_BEN_CON_CONTRIBUI_DEF;VL_BC_CD_SALD_CONT_ASSIST;SM_BEN_CON_BENEFICIO_DEF;VL_BC_BD_PROG_VABF_ASSIST;VL_BC_BD_NPRO_VABF_ASSIST;SM_BENEFICIOS_A_CONCEDER;SM_BEN_A_CON_CONTRIB_DEF;VL_AC_CD_SALD_CONT_PATRO;VL_AC_CD_SALD_CONT_PART;SM_BEN_A_CON_BEN_DEF_PROG;VL_AC_BD_PROG_VABF;VL_AC_BD_PROG_VACF_PATRO;VL_AC_BD_PROG_VACF_PART;SM_BEN_A_CON_BEN_DEF_NPRO;VL_AC_BD_NPRO_VABF;VL_AC_BD_NPRO_VACF_PATRO;VL_AC_BD_NPRO_VACF_PART;VL_AC_BD_CAPT_COBERTURA;VL_AC_BD_REPT_SIMPLES;ID_GRUPO_CUSTEIO_DA;ID_DEMONSTRACAO_ATUARIAL
2005000892;156869;;;44032499.14;3816363.96;3816363.96;3816363.96;0;;;40216135.18;40216135.18;2015215.81;38200919.37;0;;;;0;;;;;;;2601637
2006004247;156871;;;39370515.94;3202937.76;3202937.76;3202937.76;0;;;36167578.18;36167578.18;2544314.92;33623263.26;0;;;;0;;;;;;;2601648
2012001629;156873;;;17309434.81;88924;88924;88924;0;;;17220510.81;17220510.81;646878.05;16573632.76;0;;;;0;;;;;;;2601657
2012001874;156875;;;68310469.66;12633719.1;12633719.1;12633719.1;0;;;55676750.56;55676750.56;85339.27;55591411.29;0;;;;0;;;;;;;2601664
2015001883;156900;;;6597628.65;0;0;0;0;;;6597628.65;6597628.65;222013.01;6375615.64;0;;;;0;;;;;;;2614974
1980001138;156907;;0;48136734.06;47743705.41;0;0;47743705.41;46840918.59;902786.82;393028.65;0;0;0;392314.04;392314.04;0;0;714.61;714.61;0;0;0;0;;2615041
1981000518;156982;;0;521496114.7;210556374.9;0;0;210556374.9;0;210556374.9;310939739.9;0;0;0;0;0;0;0;310939739.9;310939739.9;0;0;0;0;;2642297
2010004711;156993;;0;8292712;8292712;0;0;8292712;7109711;1183001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2647912
2016000465;156999;;;287234749.1;69691387.15;69691387.15;69691387.15;0;;;217543361.9;217543361.9;106631045.4;110912316.6;0;;;;0;;;;;;;2648156
2016000619;157020;;;160381775.3;20693610.18;20693610.18;20693610.18;0;;;139688165.2;139688165.2;31137653.19;108550512;0;;;;0;;;;;;;2648209
