NU_CNPB_PLANO_DA;ID;ORIGEM;ID_FONTE_RECURSO;SM_TOTAL_RECURSOS_PART;SM_CONTRIB_PREV_PART;VL_CONTRIB_NORMAIS_PART;SM_CONTRIB_EXTRA_PART;VL_DEFICIT_EQUACIO_PART;VL_SERVICO_PASSADO_PART;VL_OUT_FINALIDADES_PART;SM_UTILIZA_FUNDOS_PART;VL_EXIGENCIA_REGUL_PART;VL_DESTINA_RES_ESP_PART;SM_TOTAL_RECURSOS_ASSIST;SM_CONTRIB_PREV_ASSIST;SM_CONTRIB_EXTRA_ASSIST;VL_DEFICIT_EQUACIO_ASSIST;VL_SERVICO_PASSADO_ASSIST;VL_OUT_FINALIDADES_ASSIST;SM_UTILIZA_FUNDOS_ASSIST;VL_EXIGENCIA_REGUL_ASSIST;VL_DESTINA_RES_ESP_ASSIST;SM_TOTAL_RECURSOS_PATRO;SM_CONTRIB_PREV_PATRO;VL_CONTRIB_NORMAIS_PATRO;SM_CONTRIB_EXTRA_PATRO;VL_DEFICIT_EQUACIO_PATRO;VL_SERVICO_PASSADO_PATRO;VL_OUT_FINALIDADES_PATRO;SM_UTILIZA_FUNDOS_PATRO;VL_EXIGENCIA_REGUL_PATRO;VL_DESTINA_RES_ESP_PATRO;SM_TOTAL_RECURSOS_GRUPO;SM_CONTRIB_PREV_GRUPO;SM_CONTRIB_NORMAIS_GRUPO;SM_CONTRIB_EXTRA_GRUPO;SM_DEFICIT_EQUACIO_GRUPO;SM_SERVICO_PASSADO_GRUPO;SM_OUT_FINALIDADES_GRUPO;SM_UTILIZA_FUNDOS_GRUPO;SM_EXIGENCIA_REGUL_GRUPO;SM_DESTINA_RES_ESP_GRUPO;DT_INICIO_VIGENCIA;ID_GRUPO_CUSTEIO_DA;ID_DEMONSTRACAO_ATUARIAL;VL_CONTRIB_NORMAIS_ASSIST;TX_TOT_PERC_CONTRIB_PART;TX_PERC_NORMAIS_PART;TX_TOT_PERC_EXTRA_PART;TX_DEFICIT_EQUACIO_PART;TX_PERC_SER_PAS_PART;TX_PERC_OUT_FINALID_PART;TX_TOT_PERC_CONTRIB_ASSIS;TX_PERC_NORMAIS_ASSIST;TX_TOT_PERC_EXTRA_ASSIST;TX_DEFICIT_EQUACIO_ASSIST;TX_PERC_SER_PAS_ASSIST;TX_PERC_OUT_FINALID_ASSIS;TX_TOT_PERC_CONTRIB_PATRO;TX_PERC_NORMAIS_PATRO;TX_TOT_PERC_EXTRA_PATRO;TX_DEFICIT_EQUACIO_PATRO;TX_PERC_SER_PAS_PATRO;TX_PERC_OUT_FINALID_PATRO
2011002419;3191815;1;41053;1038989.88;1038989.88;1038989.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1038989.88;1038989.88;1038989.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3191815;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2006004247;3191827;1;41055;1513115.16;1513115.16;1513115.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1513115.16;1513115.16;1513115.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3191827;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2012001629;3191831;1;41057;795714.96;795714.96;795714.96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;795714.96;795714.96;795714.96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3191831;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2012001874;3191835;1;41059;2762206.56;2762206.56;2762206.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2762206.56;2762206.56;2762206.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3191835;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2015001883;3191841;1;41061;493945.56;493945.56;493945.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;493945.56;493945.56;493945.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3191841;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2005000892;3192097;1;41063;1857773.66;1857773.66;1857773.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;215379.19;215379.19;215379.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2073152.85;2073152.85;2073152.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3192097;0.00;4.70;4.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.50;0.00;0.00;0.00;0.00
2018000365;3245774;1;41067;4214878.63;4214878.63;4214878.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4214878.63;4214878.63;4214878.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3245774;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1979000174;3296254;1;41075;12074160.04;12074160.04;0.00;12074160.04;12074160.04;0.00;0.00;0.00;0.00;0.00;2277284.76;2277284.76;2277284.76;0.00;0.00;2277284.76;0.00;0.00;0.00;12074160.04;12074160.04;0.00;12074160.04;12074160.04;0.00;0.00;0.00;0.00;0.00;26425604.84;26425604.84;0.00;26425604.84;24148320.08;0.00;2277284.76;0.00;0.00;0.00;NULL;NULL;3296254;0.00;0.00;0.00;6.50;6.50;0.00;0.00;0.00;0.00;2.65;0.00;0.00;2.65;0.00;0.00;6.50;6.50;0.00;0.00
1971000256;3306552;1;41079;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3306552;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2013000911;3307339;1;41081;984551.86;984551.86;984551.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;905092.46;905092.46;905092.46;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1889644.32;1889644.32;1889644.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;NULL;NULL;3307339;0.00;7.93;7.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.29;7.29;0.00;0.00;0.00;0.00
